job_name,company_name,salary_avg,city,city_level,experience_years,education_level,tags,job_description,source,skills_list,skill_count,education_label,city_level_label
Python开发工程师,小米,33970.0,上海,1,8,3,微服务;SQL;机器学习,负责Python开发工程师相关工作，要求8年经验，薪资面议。,演示数据,"['微服务', 'SQL', '机器学习']",3,本科,一线城市
人工智能工程师,腾讯,31243.0,上海,1,3,2,React;MongoDB;Nginx,负责人工智能工程师相关工作，要求3年经验，薪资面议。,演示数据,"['React', 'MongoDB', 'Nginx']",3,大专,一线城市
数据分析师,字节跳动,26451.0,西安,3,8,4,React;Redis;Git;Vue;Python,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['React', 'Redis', 'Git', 'Vue', 'Python']",5,硕士,其他城市
产品经理,美团,21178.0,武汉,2,2,3,SQL;JavaScript;Hadoop;PyTorch,负责产品经理相关工作，要求2年经验，薪资面议。,演示数据,"['SQL', 'JavaScript', 'Hadoop', 'PyTorch']",4,本科,新一线城市
算法工程师,美团,32320.0,长沙,3,10,2,SQL;Hadoop;JavaScript;AWS;Spring;Nginx,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['SQL', 'Hadoop', 'JavaScript', 'AWS', 'Spring', 'Nginx']",6,大专,其他城市
数据分析师,百度,18069.0,长沙,3,8,2,DevOps;Spring;JavaScript,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['DevOps', 'Spring', 'JavaScript']",3,大专,其他城市
测试工程师,华为,24533.0,上海,1,2,3,Docker;PyTorch;Kubernetes;机器学习,负责测试工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Docker', 'PyTorch', 'Kubernetes', '机器学习']",4,本科,一线城市
人工智能工程师,华为,48889.0,上海,1,8,3,Docker;Redis;Hadoop,负责人工智能工程师相关工作，要求8年经验，薪资面议。,演示数据,"['Docker', 'Redis', 'Hadoop']",3,本科,一线城市
数据分析师,美团,26473.0,西安,3,8,3,React;Java,负责数据分析师相关工作，要求8年经验，薪资面议。,演示数据,"['React', 'Java']",2,本科,其他城市
算法工程师,网易,30879.0,武汉,2,0,3,深度学习;TensorFlow;Kubernetes;数据分析;MySQL;Hadoop,负责算法工程师相关工作，要求0年经验，薪资面议。,演示数据,"['深度学习', 'TensorFlow', 'Kubernetes', '数据分析', 'MySQL', 'Hadoop']",6,本科,新一线城市
算法工程师,美团,39539.0,深圳,1,1,3,Vue;微服务;Git;Spark;深度学习;Hadoop,负责算法工程师相关工作，要求1年经验，薪资面议。,演示数据,"['Vue', '微服务', 'Git', 'Spark', '深度学习', 'Hadoop']",6,本科,一线城市
前端工程师,字节跳动,24464.0,广州,1,5,3,SQL;Linux,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['SQL', 'Linux']",2,本科,一线城市
人工智能工程师,阿里巴巴,26198.0,武汉,2,0,3,MongoDB;Vue;AWS;Python;机器学习,负责人工智能工程师相关工作，要求0年经验，薪资面议。,演示数据,"['MongoDB', 'Vue', 'AWS', 'Python', '机器学习']",5,本科,新一线城市
算法工程师,华为,29954.0,西安,3,10,4,Spark;Docker;Redis;Python,负责算法工程师相关工作，要求10年经验，薪资面议。,演示数据,"['Spark', 'Docker', 'Redis', 'Python']",4,硕士,其他城市
前端工程师,字节跳动,19290.0,西安,3,5,2,数据分析;MongoDB;Nginx;Kubernetes,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['数据分析', 'MongoDB', 'Nginx', 'Kubernetes']",4,大专,其他城市
前端工程师,网易,29809.0,成都,2,5,5,Nginx;TensorFlow,负责前端工程师相关工作，要求5年经验，薪资面议。,演示数据,"['Nginx', 'TensorFlow']",2,博士,新一线城市
Java开发工程师,阿里巴巴,34883.0,北京,1,2,5,Java;React;Git,负责Java开发工程师相关工作，要求2年经验，薪资面议。,演示数据,"['Java', 'React', 'Git']",3,博士,一线城市
运维工程师,字节跳动,40262.0,上海,1,10,2,DevOps;Linux;微服务;机器学习;MySQL;AWS,负责运维工程师相关工作，要求10年经验，薪资面议。,演示数据,"['DevOps', 'Linux', '微服务', '机器学习', 'MySQL', 'AWS']",6,大专,一线城市
